name,category,brand,description
Strength Cure Shampoo for Damaged Hair,Shampoo,Pureology,"What it is: A gentle, sulfate-free shampoo that strengthens and repairs hair damaged from color, heat, and everyday wear and tear.Hair Type: Straight, Wavy, Curly, and CoilyHair Texture: Fine, Medium, and ThickHair Concerns:- Dryness- Color Safe- Damage, Split Ends, and BreakageKey Benefits: - Blended with plant-based proteins to repair damaged hair- Hydrates and strengthens hair to prevent future breakage- Softens hair, protects color, and adds shineFormulation: LiquidHighlighted Ingredients:- Keravis: A strengthening protein known to prevent hair breakage- Astaxanthin: A powerful antioxidant part of the exclusive Asta-Repair technology that helps heal and repair damaged hair.Ingredient Callouts: Free of sulfates SLS and SLES, parabens, formaldehydes, formaldehyde-releasing agents, phthalates, mineral oil, retinyl palmitate, oxybenzone, coal tar, hydroquinone, triclosan, and triclocarban, and contains less than one percent of synthetic fragrances. This product is also vegan, cruelty-free, and comes in recyclable packaging.What Else You Need to Know: This vegan formula includes a signature blend of raspberry, peach, and water flowers and a patented Antifade Complex® to protect color vibrancy. It also includes sunflower seed, a UV filter, and vitamin E to fight color-depleting environmental effects while ensuring lasting shine. Can be used on non-color-treated hair.This product is an Allure Best of Beauty award winner.Clinical Results: Based on consumer testing of 59 women using a regimen of Strength Cure Shampoo and Conditioner:- 98% of women said hair feels soft- 95% of women said hair feels healthy"
Desert Detox Clarifying Shampoo,Shampoo,dae,"What it is: A clarifying, non-stripping shampoo that cleanses away excess oil, impurities, and product buildup, leaving hair feeling extra clean and detoxified.Hair Texture: Straight, Wavy, Curly, and CoilyHair Type: Fine, Medium, and ThickHair Concerns:- Color Safe- Oily Scalp- Scalp BuildupKey Benefits: - Intensely cleanses and clarifies- Removes excess oil and product buildup- Is non-stripping and color safeHighlighted Ingredient:- Signature Desert Botanical Blend: Hydrates, tames frizz, adds shine, strengthens and prevents breakage.Ingredient Callouts: This product is vegan, and cruelty-free.What Else You Need to Know:  Enriched with purifying desert botanicals, the rich lather leaves hair feeling extra clean and detoxified. Envelop your hair in our sweet, warm Signature Citrus Scent that makes wash dae dreamy. Use 1x a week or when your hair + scalp needs a deeper cleanse (scalp is oily, hair lacks shine, curls lost shape).Fragrance Description: Infused with sweet notes of sparkling orange, orange blossom, and vanilla, dae’s signature citrus scent is a warm, floral composition reminiscent of summer ease.Clean at SephoraOur commitment to offering formulas that go beyond regulatory standards to avoid controversial ingredients without sacrificing effectiveness."
Normcore Hydrating Conditioner,Conditioner,amika,"What it is: A hydrating conditioner that infuses hair with omega 7–rich sea buckthorn to restore moisture and promotes soft, silky, bouncy hair.Hair Type: Fine and MediumHair Texture: Straight and WavyHair Concerns: - Dryness - ShineKey Benefits: - Hydrates- Reduces flyawaysHighlighted Ingredients:- Shea Butter: Provides nourishment and softness. - Sea Buckthorn: Rich in fatty-acid omega 7, making it the holy grail for all things hair.Ingredient Callouts: Free of parabens, formaldehydes, formaldehyde-releasing agents, phthalates, mineral oil, retinyl palmitate, oxybenzone, coal tar, hydroquinone, sulfates SLS & SLES, triclocarban, and triclosan. It is also vegan and cruelty-free.What Else You Need to Know: This hydrating conditioner is formulated with a mix of vitamins, antioxidants, and shea butter that leaves hair soft and shiny, but never weighed down or greasy. Our secret ingredient is sea buckthorn, one of the few plant sources of omega 7, making it the holy grail for all things hair.Clean & Planet AwareOur ambitious curation of beauty made without controversial ingredients from brands dedicated to making meaningful environmental commitments, including sustainable ingredients and sourcing, packaging, corporate commitments, and consumer transparency."
Rosemary Shampoo For Thinning Hair,Shampoo,Nécessaire,"What it is: Treatment Shampoo with Rosemary Oil, Plant Proteins + Essential Ceramides to help strengthen hair. Signature scent of Rosemary. Dermatologist-Tested.Hair Texture: Straight, Wavy, Curly, and CoilyHair Type: Fine, Medium, and ThickHair Concerns:- Anti-Aging- Thinning- Color SafeKey Benefits: - Helps strengthen hair- Helps minimize breakage- Helps restore the protective scalp barrierHighlighted Ingredients:- Pure Rosemary Oil: Helps minimize hair thinning.- Five Ceramides (AG/AP/EOP/NG/NP): Help restore the protective scalp barrier.- Five Proteins (Plant): Helps protect hair from breakage.What Else You Need to Know: A strengthening shampoo for scalp and hair. Pure Rosemary Oil and 5 Plant Proteins helps strengthen hair and minimize breakage. 5 Essential Ceramides (AG/AP/EOP/NG/NP) helps restore the protective scalp barrier. Dermatologist-Tested. Hypoallergenic. Non-Comedogenic. Color-Safe. Use with Rosemary Conditioner for best results.                         Fragrance Description: Pure rosemary oil is paired with fine fragrance notes of mandarin, jasmine and cedarwood.Clean & Planet AwareOur ambitious curation of beauty made without controversial ingredients from brands dedicated to making meaningful environmental commitments, including sustainable ingredients and sourcing, packaging, corporate commitments, and consumer transparency.This product is an Allure Best of Beauty award winner."
Signature Conditioner,Conditioner,dae,"What it is: A lightweight, nourishing, color-safe conditioner that hydrates, detangles, and prevents breakage, leaving hair soft and smelling like a dream.Hair Texture: Straight, and WavyHair Type: Fine, and MediumHair Concerns:- Shine- Dryness- FrizzKey Benefits: - Adds lightweight hydration that detangles & softens- Strengthens and prevents breakage- Tames frizz and adds shineHighlighted Ingredients:- False Daisy Extract: Strengthens hair and promotes a healthy scalp.- Signature Desert Botanical Blend: Hydrates, tames frizz, adds shine, strengthens, and prevents breakage.Ingredient Callouts: This product is vegan and cruelty-free.What Else You Need to Know: Blended with dae’s signature botanical blend and false daisy extract to nourish, strengthen and calm frizz, this formula leaves hair soft, shiny, and bouncy. It is infused with the brand’s signature citrus scent, sweet, warm, and citrusy—like an easy summer breeze.Fragrance Description: Infused with sweet notes of sparkling orange, orange blossom, and vanilla, dae’s signature citrus scent is a warm, floral fragrance reminiscent of summer ease. Sunlit mornings spent squeezing fresh juice by hand. Afternoons running barefoot through wild, open orchards. Quiet evenings dozing as citrus trees sway with the breeze.Clean at SephoraOur commitment to offering formulas that go beyond regulatory standards to avoid controversial ingredients without sacrificing effectiveness."
PEPTIDE PREP™ Clarifying Detox Shampoo,Shampoo,K18 Biomimetic Hairscience,"What it is: A color-safe, non-stripping clarifying shampoo with the K18PEPTIDE™ that removes 99% product buildup, 95% sebum, and 76% copper for detoxified, refreshed hair.Hair Type: Fine, Medium, and ThickHair Texture: Straight, Wavy, Curly, and CoilyHair Concerns:- Damage/Split Ends/Breakage- Scalp Buildup- Color SafeKey Benefits: - Deeply cleanses hair and scalp without over-stripping or drying- Targets buildup from product, excess sebum, and metals in water- Color-safe, non-stripping, pH-optimizedHighlighted Ingredients:- Activated Charcoal: Absorbs toxins, excess oils, and dirt in the hair and scalp.- Salicylic Acid: Clears sebum buildup without stripping essential moisture and lipids.- K18PEPTIDE™: Works as a protective shield to reduce protein loss that can weaken hair to keep it feeling soft, strong, healthy, and clean.Ingredient Callouts: This product is vegan, gluten-free, and cruelty-free.What Else You Need to Know: This detoxifying shampoo effectively clarifies hair of product buildup, excess oil, and metals common in tap and hard water with a pH-optimized formula that is color-safe and won't leave hair over-stripped or easily tangled. The K18PEPTIDE™ helps to maintain hair health with no fillers or deposits left behind.Fragrance Description: Clean citrus scentClinical Results: In a clinical study on a bleached hair tress after 1 wash with detox shampoo:- 99% of product buildup was removed- 95% of sebum was removed- 76% of copper was removedCLEAN at Sephora is our commitment to offering formulas that go beyond regulatory standards to avoid controversial ingredients without sacrificing on effectiveness."
Mirrorball High Shine + Protect Antioxidant Conditioner,Conditioner,amika,"What it is: An antioxidant-rich conditioner that boosts brilliant shine, removes pollution buildup, and adds moisture while protecting color vibrancy.Hair Texture: Straight, Wavy, and CurlyHair Type: Fine and MediumHair Concerns:- Frizz- Shine- Color FadingKey Benefits: - Boosts brilliant shine- Protects against pollution buildup- Preserves color vibrancyHighlighted Ingredients:- Red Wine and Raspberry Leaf Extract: Removes pollutants via active antioxidants.- Grape Leaf Extract: Combats damage with its high antioxidant content.- Sea Buckthorn: Is loaded with vitamins C and A, as well as fatty acid omega-7.Ingredient Callouts: This product is vegan, gluten-free, cruelty-free, and comes in recyclable packaging.What Else You Need to Know: Boost brilliant shine by 45 percent* with this antioxidant-rich conditioner. Infused with grape leaf extract, raspberry extract, and sea buckthorn, it removes 57 percent* of pollution buildup that would otherwise dim hair’s ultra-shiny, smooth, healthy look. The formula provides lightweight moisture ideal for fine-to-medium hair types while protecting color vibrancy.*Clinically demonstrated when shampoo and conditioner are used together.Fragrance Description: Notes of warm vanilla, spicy sweet clover, and fresh citrus create an intoxicating fragrance.Clinical Results: In a 2-week consumer test with 55 participants, when used with shampoo:- 85% agreed hair felt softer and more moisturized- 80% said hair looked and felt less dull- 78% agreed hair looked shinyClean & Planet AwareOur ambitious curation of beauty made without controversial ingredients from brands dedicated to making meaningful environmental commitments, including sustainable ingredients and sourcing, packaging, corporate commitments, and consumer transparency."
Hydro Rush Intense Moisture Shampoo with Hyaluronic Acid,Shampoo,amika,"What it is: A hydrating shampoo infused with hyaluronic acid and squalane, gently cleansing and drenching hair with three times more hydration* and long-lasting moisture.Hair Type: Medium and ThickHair Texture: Straight, Wavy, Curly, and CoilyHair Concerns:- Dryness - Damage/Split Ends/BreakageKey Benefits: - Results in hair that is 3x more hydrated*- Boosts hydration for 72 hours*- Cleanses hair in a luxurious latherHighlighted Ingredients:- Squalane: Prevents moisture loss while restoring hair’s suppleness.- Hyaluronic Acid: Plumps hair by maintaining moisture.- Bio-fermented Coconut Water: Adds natural hydration.Ingredient Callouts: Free of parabens, formaldehydes, formaldehyde-releasing agents, phthalates, mineral oil, retinyl palmitate, oxybenzone, coal tar, hydroquinone, sulfates SLS & SLES, triclocarban, triclosan, and contains less than one percent synthetic fragrance. It is also vegan, gluten-free, cruelty-free, and comes in recyclable packaging.What Else You Need to Know: Drench your hair in three times more hydration* with Hydro Rush Intense Moisture Shampoo. Immersed in potent ingredients like squalane, hyaluronic acid, polyglutamic acid, coconut water, and blue algae, this shampoo gently cleanses while providing long-lasting, 72-hour hydration* and reduces damage by 50%.*Clinical Results: In a two-week survey of 52 participants who used the shampoo and conditioner together:-94% said hair felt softer and more moisturized-88% agreed Hydro Rush provided long-lasting hydration-100% agreed Hydro Rush didn’t weigh hair down*Clinically proven, shampoo and conditioner when used as a system.Clean & Planet AwareOur ambitious curation of beauty made without controversial ingredients from brands dedicated to making meaningful environmental commitments, including sustainable ingredients and sourcing, packaging, corporate commitments, and consumer transparency."
Serene Scalp Densifying Shampoo,Shampoo,Oribe,"What it is: A shampoo for thinning hair that plumps and densifies strands for thicker, fuller, and healthier-looking hair.Hair Texture: Straight, Wavy, Curly, and CoilyHair Type: FineHair Concerns:- Color Safe- Thinning - Volumizing Key Benefits: - Adds volume, body, and density to thinning hair- Increases fullness for thicker, healthier strandsHighlighted Ingredients:- Capixyl™ (Biomimetic Peptide combined with Red Clover Extract) fortifies the scalp to promote fuller, thicker, and healthier-looking hair. - Redensyl™: Increases fullness and reduces shedding while preserving hair integrity.- Pea Sprout Extract: Rich in phytonutrients and replenishes brittle hair while increasing density for fuller, thicker strands.Ingredient Callouts: Free of phthalates and Sulfates SLS & SLES. It is also vegan, gluten-free, and cruelty-free. What Else You Need to Know: Developed in collaboration with a board-certified trichologist, this shampoo is proven to plump and densify strands for thicker, fuller, and healthier-looking hair over the course of three months. This gentle cleanser stimulates the scalp, reduces shedding, and preserves hair integrity.  "
Rosemary Conditioner For Thinning Hair,Conditioner,Nécessaire,"What it is: Treatment Conditioner with Rosemary Oil, Plant Proteins + Essential Ceramides to help strengthen hair. Signature scent of Rosemary. Dermatologist-Tested.Hair Texture: Straight, Wavy, Curly, and CoilyHair Type: Fine, Medium, and ThickHair Concerns:- Anti-Aging- Thinning- Color SafeKey Benefits: - Helps strengthen hair- Helps minimize breakage- Helps restore the protective scalp barrierHighlighted Ingredients:- Pure Rosemary Oil: Helps minimize hair thinning.- Five Proteins (Plant): Helps protect hair from breakage.- Five Ceramides (AG/AP/EOP/NG/NP): Helps restore the protective scalp barrier.What Else You Need to Know: A strengthening conditioner for scalp and hair. Pure Rosemary Oil and 5 Plant Proteins helps strengthen hair and minimize breakage. 5 Essential Ceramides (AG/AP/EOP/NG/NP) helps restore the protective scalp barrier. Dermatologist-Tested. Hypoallergenic. Non-Comedogenic. Color-Safe. Use with Rosemary Shampoo for best results. Fragrance Description: Pure Rosemary Oil is paired with fine fragrance notes of mandarin, jasmine and cedarwood.Clean & Planet AwareOur ambitious curation of beauty made without controversial ingredients from brands dedicated to making meaningful environmental commitments, including sustainable ingredients and sourcing, packaging, corporate commitments, and consumer transparency.This product is an Allure Best of Beauty award winner."
Signature Shampoo,Shampoo,dae,"What it is: A nourishing, color-safe shampoo that gently cleanses with a rich lather to strengthen, add shine, and tame frizz, leaving hair smelling dreamy.Hair Texture: Straight, Wavy, and CurlyHair Type: Fine, Medium, and ThickHair Concerns:- Color Safe- Frizz- ShineKey Benefits: - Gently cleanses and softens- Strengthens and nourishes- Tames frizz and adds shineHighlighted Ingredients:- False Daisy Extract: Strengthens hair and promotes a healthy scalp.- Signature Desert Botanical Blend: Hydrates, tames frizz, adds shine, strengthens, and prevents breakage.Ingredient Callouts: This product is vegan and cruelty-free.What Else You Need to Know: Blended with dae’s signature desert botanical blend and false daisy extract to nourish, strengthen, and calm frizz, this formula creates a rich, luxurious lather that leaves hair soft, shiny, and bouncy. It is infused with the brand’s signature citrus scent, sweet, warm, and citrusy—like an easy summer breeze.Fragrance Description: Infused with sweet notes of sparkling orange, orange blossom, and vanilla, dae’s signature citrus scent is a warm, floral fragrance reminiscent of summer ease. Sunlit mornings spent squeezing fresh juice by hand. Afternoons running barefoot through wild, open orchards. Quiet evenings dozing as citrus trees sway with the breeze.Clean at SephoraOur commitment to offering formulas that go beyond regulatory standards to avoid controversial ingredients without sacrificing effectiveness."
