brand,category,description,name,price_tier
amika,Hair Masks,"What it is: A flash-acting treatment mask that gives brilliant shine, softens, and hydrates hair in just 60 seconds.Hair Type: Medium and ThickHair Texture: Straight, Wavy, Curly, and CoilyHair Concerns:- Shine - Color Safe - DrynessKey Benefits: - Hydrates, Saves Time, and Adds ShineHighlighted Ingredients:- Hydrolyzed Flax Seed: Moisturizes and softens hair while providing healthy-looking shine.- Red Wine Extract: Provides antioxidants that help to nurture, hydrate, and fight frizz.- Amino Acid Complex: Smooths, supports hair elasticity, and keeps color vibrant.Ingredient Callouts: Free of sulfates SLS and SLES, parabens, formaldehydes, formaldehyde-releasing agents, phthalates, mineral oil, retinyl palmitate, oxybenzone, coal tar, hydroquinone, triclosan, and triclocarban, and contains less than one percent of synthetic fragrances. This product is also vegan and cruelty-free.What Else You Need to Know: This mask is inspired by the Korean ""Splash Mask"" beauty ritual of splashing nutrient-enriched water onto skin to brighten and moisturize. The Flash Instant Shine Mask is a rinse-out treatment mask that delivers brilliant shine and moisture in just 60 seconds. It is formulated with amino acids and UV filters to smooth the hair cuticle, boost hair’s elasticity, and keep color vibrant.Clean & Planet AwareOur ambitious curation of beauty made without controversial ingredients from brands dedicated to making meaningful environmental commitments, including sustainable ingredients and sourcing, packaging, corporate commitments, and consumer transparency.",amika Flash Instant Shine Hair Gloss Mask in 6.7 oz / 200 mL Image 2,mid-range
OUAI,Hair Masks,"What it is: A mask that restores hydration, repairs damage, and adds shine to thick hair with almond, macadamia, and olive oils, shea and illipe butters, and hydrolyzed keratin.Hair Type: ThickHair Texture: Coily, Curly, Straight, and Wavy Hair Concerns:- Dryness- Frizz- Damage, Split Ends, and BreakageKey Benefits: - Provides hydration for dry, damaged hair - Strengthens with proteins to prevent breakage- Leaves hair healthy with a shiny finishHighlighted Ingredients:- Illipe and Shea Butters: Hydrate and condition dry, over-processed hair. - Almond, Olive, and Macadamia Oil Blend: Softens and smooths hair while adding shine.- Hydrolyzed Keratin and Protein: Prevent breakage while reducing frizz and flyaways.Ingredient Callouts: Free of parabens, formaldehydes, formaldehyde-releasing agents, phthalates, mineral oil, retinyl palmitate, oxybenzone, coal tar, hydroquinone, sulfates SLS & SLES, triclocarban, triclosan, and contains less than one percent synthetic fragrance. It is also gluten-free, cruelty-free, and comes in recyclable packaging.What Else You Need to Know: This moisturizing mask is safe for color-treated hair, keratin treatments, and chemically treated hair. Fragrance Description: This mask is scented with Melrose Place, a rose fragrance with hints of bergamot, lychee, cedarwood, and musk.",OUAI Treatment Mask for Thick Hair in 8 oz/ 236 mL Image 2,premium
amika,Hair Masks,"What it is: A hyaluronic acid-infused overnight hair treatment mask that boosts moisture for 72 hours and results in hair that is 3x more hydrated by morning.Hair Type: Fine, Medium, and ThickHair Texture: Straight, Wavy, Curly, and CoilyHair Concerns: - Dryness - Damage/Split Ends/Breakage - FrizzKey Benefits: - Results in hair that is three times more hydrated by morning*- Boosts moisture for 72 hours and benefits last for four washes*- Reduces breakage by 26 percentHighlighted Ingredients:- Hyaluronic Acid: Plumps up hair strands by maintaining moisture.- Bio-fermented Coconut Water: Adds natural hydration.- Polyglutamic Acid: Promotes moisture retention.Ingredient Callouts: Free of parabens, formaldehydes, formaldehyde-releasing agents, phthalates, mineral oil, retinyl palmitate, oxybenzone, coal tar, hydroquinone, sulfates SLS & SLES, triclocarban, triclosan, and contains less than one percent synthetic fragrance. It is also vegan, gluten-free, cruelty-free, and comes in recyclable packaging.What Else You Need to Know: Infused with hyaluronic acid and coconut water, this ultra-hydrating, silicone-free treatment reduces breakage by 26 percent*, boosts moisture for 72 hours*, and lasts for four washes*. Apply to mid-lenghts to ends right before bedtime. It‘s lightweight enough to use every night if needed, plus there‘s no need to rinse in the morning and it won‘t stain your pillow.Clinical Results: In a clinical study with 8 people, when used as directed:- Hair is 3x more hydrated and manageable by morning*- Boosts moisture for 72 hours*- Benefits last up to 4 washes*In a clinical study with 10 people, when used as directed: - Reduces breakage by 26%***Clinically proven with an eight tress/group study, when used as directed.**Clinically proven with a 10 tress/group study, when used as directed.Clean & Planet AwareOur ambitious curation of beauty made without controversial ingredients from brands dedicated to making meaningful environmental commitments, including sustainable ingredients and sourcing, packaging, corporate commitments, and consumer transparency.",amika Dream Routine Overnight Hydrating Hair Mask in 3.3 oz / 100 mL Image 2,mid-range
Kérastase,Hair Masks,"What it is: A hydrating mask formulated with plant-based proteins and niacinamide to nourish, easily detangle, and strengthen very dry hair.Hair Texture: Straight, Wavy, Curly, and CoilyHair Type: Medium and ThickHair Concerns:- Dryness- Shine- Straightening and SmoothingKey Benefits: - Deeply conditions and nourishes- Intensely smooths, softens, and detangles- Leaves hair noticeably softer with enhanced shineHighlighted Ingredients:- Plant-Based Proteins: Provide essential nutrients and retain moisture.- Niacinamide: Locks in hydration for long-lasting strength.What Else You Need to Know: Transform very dry, medium-to-thick hair with this super-concentrated, intensely nourishing, hydrating mask. Recommended by pro stylists for weekly hydration, this mask is the perfect addition to any hair-care routine for softer strands with enhanced shine and a radiant finish.Fragrance Description: The fresh and floral composition features top notes of bergamot, geranium, and bigaradier for a clean scent; middle notes of peony, ylang-ylang, jasmine, and orris for a floral aroma; and bottom notes of tonka, amber, cedarwood, amyris, and musk.Clinical Results: In a controlled study using Nutritive Ultra-Hydrating Mask for very dry hair, results showed: - Hair was +116% shinier vs. unwashed hair - Hair was +89% more conditioned vs. a non-conditioning shampoo- Hair was +96% stronger vs. a non-conditioning shampoo",Kérastase Nutritive Ultra-Hydrating Mask for Very Dry Hair in 6.8 oz / 200 ml Image 2,premium
Kérastase,Hair Styling Products,"What it is: A strengthening hair mask infused with amino acids to restore damaged lengths, seal split ends, and prevent future breakage for visibly longer and stronger hair.Hair Type: Medium and ThickHair Texture: Straight, Wavy, Curly, and CoilyHair Concerns:- Damage/Split Ends/Breakage- Dryness- ShineKey Benefits: - Intensely Moisturizes to Strengthen Damaged Lengths- Seals Split Ends to Protect Against Breakage- Smooths, Softens, and Easily Detangles HairHighlighted Ingredients:- Creatine-R: An exclusive complex composed of amino acids to reinforce the internal structure of the hair fiber. - Maleic Acid: Intensely penetrates strands to coat and seal hair from roots to ends. - Ceramides: Aid in strengthening hair, enhancing shine and suppleness, and adding moisture.What Else You Need to Know: Hair lengths, also known as the mid-section between the root and tip of each hair strand, are key contributors to healthy hair. Strong lengths help to prevent breakage and splitting ends for visibly longer hair. This replenishing hair mask restores and strengthens slow-growing, damaged lengths and ends. Blended with amino acids, its formula is loved by professional stylists as the perfect remedy for revitalizing care that easily detangles and seals split ends with added shine.",Kérastase Resistance Strengthening Mask for Lengths & Split Ends in 6.8 oz/ 200 mL Image 2,premium
Moroccanoil,Hair Masks,"What it is: A high-performance, argan-oil-rich mask formulated for medium to thick, dry hair that works to improve hydration, texture, elasticity, shine, and manageability.Hair Type: Medium and ThickHair Texture: Coily, Curly, Straight, and WavyHair Concerns:- Dryness- ShineKey Benefits: Hydrates, Fights Frizz, and Promotes ShineFormulation: MaskHighlighted Ingredients:- Argan Oil: Restores elasticity, smoothness, and manageability to hair.- Glycerin: Provides hair-moisturizing benefits.- Linseed Extract: Helps improve the health of hair.Ingredient Callouts: Free of sulfates SLS and SLES, parabens, formaldehydes, phthalates, mineral oil, retinyl palmitate, oxybenzone, coal tar, hydroquinone, triclosan, and triclocarban. This product also comes in recyclable packaging.What Else You Need to Know: Moroccanoil Intense Hydrating Mask helps hydrate and condition medium to thick, dry hair. Featuring argan oil, linseed extract, and moisture-attracting glycerin, the rich and creamy formula nurtures and helps replenish moisture. No heat is required.",,mid-range
Act+Acre,Hair Masks,"What it is: A repairing hair mask enriched with 2% Glycerin + Shea Butter that restores hydration to dry, damaged hair while preventing split ends + breakage.Hair Texture: Straight, Wavy, Curly, and CoilyHair Type: Fine, Medium, and ThickHair Concerns:- Damage, Split Ends, and Breakage- Dryness- ShineKey Benefits: - Nourishes your ends- Improve visible signs of damage + dehydration- Restores hair health + vitalityHighlighted Ingredients:- Castor Oil: Hydrates the hair for a healthy and shiny finish.- Glycerin: Softens, moisturizes, and protects strands.- Shea Butter: Hydrates and locks in moisture to reduce the look and feel of damage.Ingredient Callouts: Free of parabens, formaldehydes, formaldehyde-releasing agents, phthalates, mineral oil, retinyl palmitate, oxybenzone, coal tar, hydroquinone, sulfates SLS & SLES, triclocarban, triclosan, and contains less than one percent synthetic fragrance. It is also gluten-free, cruelty-free, and comes in recyclable packaging.What Else You Need to Know: This Conditioning Hair Mask is formulated with Castor Oil, Glycerin, and Shea Butter that work together to hydrate the hair + lock in moisture, leaving it soft, moisturized and protected. Use as a weekly deep conditioning treatment or as a temporary conditioner substitute for damaged + brittle hair.Fragrance Description: This botanical fragrance blend features rich notes of cardamom, iris, violet, and sandalwood. Musky, leathery undertones provide a lasting silage and addictive comfort.CLEAN at Sephora is our commitment to offering formulas that go beyond regulatory standards to avoid controversial ingredients without sacrificing on effectiveness.",Act+Acre Restorative Deep Conditioning Hair Mask for Dry + Damaged Hair in 4.5 oz / 133 ml Image 2,mid-range
shu uemura,,"What it is: A limited-edition set featuring the bestselling ultimate reset extreme repair collection infused with Japanese-sourced rice extract to deeply hydrate and restore all types of damaged hair.Hair Texture: Straight, Wavy, Curly, and CoilyHair Type: Fine, Medium, and ThickHair Concerns:- Damage, Split Ends, and Breakage- Dryness- FrizzKey Benefits: - Cares for damaged hair overnight due to bleaching, coloring, and heat styling- Intense nourishment repairs and restores very damaged hair- Strengthens to prevent future breakage and reduces tangling and split endsHighlighted Ingredients:- Japanese-Sourced Rice Extract: Enriched with minerals, antioxidants, vitamins B and E, it is renowned by Japanese women for protecting hair from damage, hydrating, and improving elasticity.What Else You Need to Know: Discover the art of repair with the extreme repair haircare essentials set. The ultimate reset shampoo gently cleanses while replenishing hair from within, paired with the ultimate reset treatment mask which deeply hydrates and restores hair to reduce hair breakage and split ends. Extend your hair repair routine into nighttime recovery with the ultimate reset night serum: a luxurious, multi-benefit overnight hair treatment, infused with Japanese-sourced rice extract and peptide technology to restore strength, smoothness, and shine.Fragrance Description: Top notes of peach and orange blossom blend with middle notes of jasmine, geranium, and ylang ylang, with base notes of tonka bean, sandalwood, vanilla, and musk.Clinical Results: In a test when compared to non-conditioning shampoo the Night Serum:-Reduces hair breakage by 95%-3X smoother hair-95% stronger hair*In other tests:-In one use, helps fight up to 1 year of visible surface damage on hair -Softens and nourishes hair -Provides hydration and shine This Set Contains:- 10 oz/ 300 mL Ultimate Reset Shampoo for Very Damaged Hair - 6 oz/ 200 mL Ultimate Reset Hair Mask for Very Damaged Hair - 1.5 oz/ 45 mL Ultimate Reset Repairing Night Serum for Damaged Hair",shu uemura Art of Reset Set Image 2,mid-range
IGK,Hair Masks,"What it is: A leave-in, dry treatment that repairs and softens hair using bond-building technology without needing to wash or re-style.Hair Type: Fine, Medium, and ThickHair Texture: Straight, Wavy, Curly, and CoilyHair Concerns:- Shine- Dryness- Damage/Split Ends/Breakage Key Benefits: - Softens and Smooths - Strengthens and Repairs- No mess, Residue, or Need to Wash OutFormulation: SprayHighlighted Ingredients:- Leave-In Bond-Building Technology: Repairs and strengthens the hair fiber without needing to be washed out. - Vegan Silk Proteins: Soften and smooth hair.Ingredient Callouts: Free of sulfates SLS and SLES, parabens, formaldehydes, formaldehyde-releasing agents, phthalates, mineral oil, retinyl palmitate, oxybenzone, coal tar, hydroquinone, triclosan, and triclocarban. This product is also vegan, cruelty-free, and gluten-free, and comes in recyclable packaging.What Else You Need to Know: This innovative dry hair mask allows you to repair and soften your hair without the need to rinse or re-style. Its time-release formula strengthens and nourishes over time, preventing future damage and frizz. Use any time throughout the day or before bed as an overnight mask.",IGK Antisocial Leave-In Dry Hair Mask in 5 oz/ 187 mL Image 2,mid-range
BondiBoost,Hair Masks,"What it is: A natural, silicone-free nourishing mask to treat damage for soft, shiny, healthier strands that’s clinically shown to reduce breakage after one use.Hair Texture: Straight, Wavy, Curly, and CoilyHair Type: Fine, Medium, and ThickHair Concerns:- Damage, Split Ends, and Breakage- Dryness- FrizzKey Benefits: - Plant-based bond technology targets damage to rebuild broken bonds and repair hair from the inside out- Weightlessly hydrating formula smooths, adds shine, and strengthens to prevent future damage- Silicone-free, natural mask adds intense moisture and reduces frizz for integrity and shineHighlighted Ingredients:- Natural Bond Builder+ Technology: Repairs the key structural protein of the hair from the inside out.- Polycare® Split Therapy Technology: Repairs and mends split ends. - Natural Oil Blend: Moisturize and condition hair. Ingredient Callouts: It is vegan and cruelty-free.What Else You Need to Know: Damaged hair from heat, color, and chemicals? BondiBoost’s new and improved Rapid Repair Hair Mask is designed for hair repair, split ends, breakage, and hair strengthening with their Natural Bond Builder+ Technology and Polycare® Split Therapy Technology to restore resistance, elasticity, and shine.Fragrance Description: Light pomegranate, like a fruity, refreshing cocktail on a first date.Research Results: Based on an in vitro analysis on bleached hair tresses using Bond Builder+ Hair Mask:- Reduces breakage by 70% after one useCLEAN at Sephora is our commitment to offering formulas that go beyond regulatory standards to avoid controversial ingredients without sacrificing on effectiveness.",BondiBoost Rapid Repair Bond Builder+ Hair Mask for Damaged Hair in 8.45 oz / 250 ml Image 2,mid-range
amika,Hair Masks,"What it is: A moisturizing and toning mask formula clinically shown to strengthen damaged hair and bring out the brightest in blond, silver, and gray strands.Hair Texture: Straight, Wavy, Curly, and CoilyHair Type: Fine, Medium, and ThickHair Concerns:- Dryness- Damage, Split Ends, and Breakage- BrassinessKey Benefits: - Tones brassiness- Moisturizes dry hair- Strengthens and reduces breakageHighlighted Ingredients:- Bond-Fortifying Technology: Targets and strengthens hair bonds that are most prone to breakage.- Plant Butters: Mango butter extract, borage oil, and shea butter are loaded with vitamins, minerals, and five fatty acids.- Ultra-Violet Pigments: Counteract yellow and brassy tones. Ingredient Callouts: This product is vegan, cruelty-free, and comes in recyclable packaging.What Else You Need to Know: This luxurious, ultra-hydrating mask is clinically shown to intensely brighten, tone, hydrate, and strengthen hair with bond-fortifying technology, plant butters, quinoa protein, and ultra-violet pigments. After one use, hair is less prone to breakage and more manageable.Clinical Results: In a test, clinically proven results after 1 use show:- Hair is 2.2 times stronger - Hair has 56% less breakage- Hair is 8 times more conditionedClean + Planet Positive at SephoraWhen you see our Clean + Planet Positive seal, this brand's products are formulated without certain ingredients that are potentially harmful to human health and environment. They also address ingredients clients are concerned about, including phthalates, formaldehyde or formaldehyde releasers, oxybenzone and octinoxate, hydroquinone, triclosan, coal tar, methylisothiazolinone and methylchloroisothiazolinone, insoluble plastic microbeads, and more: For the full list, check out the Ingredients tab. On top of meeting the Clean at Sephora formulated without list, these brands are on a mission to do right by your routine and the planet by making climate commitments and focusing on sustainable sourcing, responsible packaging, and environmental giving.",amika Bust Your Brass Toning + Strength Repair Mask in 8 oz/ 250 ml Image 2,mid-range
