brand,category,description,name
amika,Hair Masks,"<p><strong>What it is: </strong><span class=""ui-provider ed bll bhs blm bln blo blp blq blr bls blt blu blv blw blx bly blz bma bmb bmc bmd bme bmf bmg bmh bmi bmj bmk bml bmm bmn bmo bmp bmq bmr"">A 60-second in-shower rinse out smoothing treatment that instantly reduces frizz by 73 percent—even in high humidity—for 2.2x smoother hair that lasts up to 72 hours.*</span></p><p><br></p><p><strong>Hair Type:</strong> Straight, Wavy, Curly, and Coily</p><p><br></p><p><strong>Hair Texture:</strong> Fine, Medium, and Thick</p><p><br></p><p><strong>Hair Concerns:<br></strong>- Color Safe</p><p>- Frizz</p><p>- Shine</p><p><br></p><p><strong>Key Benefits: <br></strong>- Instantly reduces frizz by 73 percent*</p><p>- Reduces frizz for up to 72 hours*</p><p>- Softens, boosts shine, and improves manageability</p><p><br></p><p><strong>Highlighted Ingredients:<br></strong>- Glycolic Acid: Helps form a barrier that smooths the hair cuticle to reduce frizz.</p><p>- Water Lily Extract: Helps tame frizz and improve manageability.</p><p>- Sea Buckthorn: Rich in fatty acid omega 7, making it a holy grail for hair and scalp.</p><p><br></p><p><strong>Ingredient Callouts:</strong> Free of parabens, formaldehydes, formaldehyde-releasing agents, phthalates, mineral oil, retinyl palmitate, oxybenzone, coal tar, hydroquinone, sulfates SLS & SLES, triclocarban, triclosan, and contains less than one percent synthetic fragrance. It is also vegan, cruelty-free, and comes in recyclable packaging.</p><p><br></p><p><strong>What Else You Need to Know:</strong> This 60-second in-shower rinse-out treatment is clinically shown to instantly reduce frizz by 73 percent* and keep frizz reduced for up to 72 hours* thanks to time-released humidity protection. It’s powered by smoothing superstars like glycolic acid—which helps to smooth the hair cuticle while creating a barrier to block out frizz—plus water lily extract and amika’s signature superfruit, sea buckthorn. The results: your hair, only 2.2x smoother.*</p><p><br></p><p>*clinically proven, after one use. </p><p><br></p><p><strong>Fragrance Description: </strong>A blend of warm vanilla, spicy sweet clover, and fresh citrus.</p><p><br></p><p><strong>Clinical Results:</strong> In a clinical test, results after one use included:</p><p>- Frizz instantly reduced by 73%</p><p>- Reduced frizz for 72 hours in high humidity</p><p>- 2.2 times smoother hair</p><p><strong>Clean & Planet Aware</strong><br>Our ambitious curation of beauty made without controversial ingredients from brands dedicated to making meaningful environmental commitments, including sustainable ingredients and sourcing, packaging, corporate commitments, and consumer transparency.</p>",amika Smooth Over Frizz-Fighting Hair Treatment Mask in 6.7 oz Image 2
Kérastase,Hair Styling Products,"<b>What it is: </b>A restorative hair mask for extremely damaged hair that intensely strengthens to protect against breakage for smoother, softer hair with enhanced shine.<br><br><b>Hair Type:</b> Medium and Thick<br><br><b>Hair Texture:</b> Straight, Wavy, Curly, and Coily<br><br><b>Hair Concerns:<br></b>- Damage/Split Ends/Breakage<br>- Dryness<br>- Shine<br><br><b>Key Benefits: <br></b>- Strengthens Very Damaged Hair to Prevent Breakage<br>- Intensely Nourishes and Hydrates <br>- Smooths and Softens to Restore Hair Elasticity<br><br><b>Highlighted Ingredients:<br></b>- Gluco-Peptide: Enters the deepest layers of strands to strengthen existing hair and support growth.<br>- Wheat Protein Derivative: Smooths and repairs elasticity of damaged hair.<br>- Native Plant Cells: Ensure intense hydration, reducing the risk of weakened roots and leaving hair soft. <br><br><b>What Else You Need to Know:</b> This repairing hair mask helps strengthen extremely damaged, weak, over-processed, or over-styled hair. Its rich, luxurious formula enters the deepest layers of hair strands to restore elasticity and is recommended by professional stylists to prevent future breakage. Indulge your hair in this renewing formula that leaves hair smooth and soft while providing intense hydration from root to tip.",Kérastase Resistance Strengthening Hair Mask for Extremely Damaged Hair in 6.8 oz/ 200 mL Image 2
Moroccanoil,Hair Masks,"<b>What it is: </b>A protein-rich, argan-oil-infused hair mask that restores and helps repair dry, weakened hair to improve texture, elasticity, and manageability.  <br><br><b>Hair Type: </b>Fine, Medium, and Thick<br><br><b>Hair Texture: </b>Coily, Curly, Straight, and Wavy<br><br><b>Hair Concerns:</b><br>- Dryness, Split Ends, and Breakage<br>- Dryness<br><br><b>Key Benefits: </b>Hydrates, Fights Frizz, and Nurtures Damaged and Broken Hair and Split Ends <br><br><b>Formulation: </b>Mask<br><br><b>Highlighted Ingredients:</b><br>- Argan Oil: Helps to nurture hair.<br>- Shea Butter: Provides nourishing benefits to hair and scalp.  <br>- Caryocar Brasiliense Fruit Oil: Nurtures hair with vitamins and essential fatty acids.  <br><br><b>Ingredient Callouts:</b> Free of sulfates SLS and SLES, parabens, formaldehydes, phthalates, mineral oil, retinyl palmitate, oxybenzone, coal tar, hydroquinone, triclosan, and triclocarban. This product also comes in recyclable packaging.<br><br><b>What Else You Need to Know: </b>Moroccanoil Restorative Hair Mask helps revive damaged hair. With argan oil, shea butter, and reparative keratin proteins, the high-performance formula helps restore elasticity and rebuild hair's strength from the inside out. No heat is required.",Moroccanoil Restorative Hair Mask in 8.5 oz/ 250 mL Image 2
amika,Hair Masks,"<b>What it is: </b>A 60-second multitasking formula that’s clinically shown to strengthen hair, reduce breakage, and prevent future damage.<br><br><b>Hair Texture:</b> Straight, Wavy, Curly, and Coily<br><br><b>Hair Type:</b> Fine, Medium, and Thick<br><br><b>Hair Concerns:<br></b>- Dryness<br>- Color Safe<br>- Damage, Split Ends, and Breakage<br><br><b>Key Benefits: <br></b>- Strengthens hair<br>- Reduces breakage<br>- Prevents future damage<br><br><b>Highlighted Ingredients:<br></b>- Bond-Fortifying Technology: Targets and strengthens hair bonds that are most prone to breakage.<br>- Vegan Proteins: Made up of essential amino acids that can provide keratin-like benefits.<br>- Sea Buckthorn: Rich in fatty-acid omega 7, making it the holy grail for all things hair. <br><br><b>Ingredient Callouts:</b> This product is vegan, gluten-free, cruelty-free, and comes in recyclable packaging.<br><br><b>What Else You Need to Know:</b> Multitasking has never been so easy. Packed with bond-fortifying technology, plant butters, and vegan proteins, this fast-acting rinse-out mask doubles as a leave-in formula that works to moisturize, strengthen your strands, reduce breakage, and prevent future damage.<br><br><b>Clinical Results:</b> In a clinical test to reduce breakage and strengthen hair, results compared to control after three uses showed:<br>- Hair was 2.4X stronger<br>- Hair had 58% less breakage<br><br> In a clinical test, results showed: <br>-The formula is safe for color-treated hair<br><br><b>Clean + Planet Positive at Sephora<br></b>When you see our Clean + Planet Positive seal, this brand's products are formulated without certain ingredients that are potentially harmful to human health and environment. They also address ingredients clients are concerned about, including phthalates, formaldehyde or formaldehyde releasers, oxybenzone and octinoxate, hydroquinone, triclosan, coal tar, methylisothiazolinone and methylchloroisothiazolinone, insoluble plastic microbeads, and more: For the full list, check out the Ingredients tab. <br>On top of meeting the Clean at Sephora formulated without list, these brands are on a mission to do right by your routine and the planet by making climate commitments and focusing on sustainable sourcing, responsible packaging, and environmental giving.",amika The Kure Multi-Task​ Strength Repair Treatment Image 2
Kérastase,Hair Masks,"<b>What it is: </b>A rich, nourishing hair mask that instantly moisturizes and softens all dry, dull, or damaged hair types with added shine.<br><br><b>Hair Type:</b> Fine, Medium, and Thick<br><br><b>Hair Texture:</b> Straight, Wavy, and Curly<br><br><b>Hair Concerns:<br></b>- Damage/Split Ends/Breakage<br>- Dryness<br>- Shine<br><br><b>Key Benefits: <br></b>- Instantly adds moisture and enhances softness<br>- Deeply restores hair movement for a lightweight bounce<br>- Intensive and decadent formula blended with powerful actives for smoother hair<br><br><b>Highlighted Ingredients:<br></b>-Abyssine: Invigorates hair for added volume and bounce.<br>-Hyaluronic Acid: Moisturizes and hydrates hair from root to ends.<br>-Vitamin E: Protects against external environmental aggressors.<br><br><b>What Else You Need to Know:</b> This hair mask gives your hair unparalleled hydration and radiant shine. It delivers moisture to dry, dull, or damaged hair and is formulated with powerful actives like hyaluronic acid and vitamin E to smooth and soften hair. It is recommended by professional hair stylists as a nourishing deep treatment to restore hair movement with a lightweight bounce.",Kérastase Chronologiste Hair Mask for Dull and Brittle Hair in 6.7 oz. / 200 ml Image 2
Curlsmith,Hair Masks,"<b>What it is: </b>An intense deep conditioner that nourishes and moisturizes even the driest hair.<br><br><b>Hair Type:</b> Fine, Medium, and Thick<br><br><b>Hair Texture:</b> Wavy, Curly, and Coily<br><br><b>Hair Concerns:<br></b>- Curl-Enhancing <br>- Frizz <br>- Shine<br><br><b>Key Benefits: <br></b>- Detangles<br>- Intensely Moisturizes Thirsty Hair<br><br><b>Highlighted Ingredients:<br></b>- Shea Butter: Locks in moisture.<br>- Resurrection Flower (Rose of Jericho): Boosts moisture retention. <br>- Andiroba: Nourishes. <br><br><b>Ingredient Callouts:</b> Free of parabens, mineral oil, and sulfates SLS & SLES. It is also vegan, gluten-free, and cruelty-free.<br><br><b>What Else You Need to Know:</b> This intense deep conditioner has a thick, buttery texture that targets hair’s driest areas to re-moisturize without weighing down your style. It has great slip, helps detangle, and leaves curls completely transformed.",Curlsmith Double Hair Cream Deep Conditioner in 8 oz / 237 mL Image 2
Briogeo,Hair Masks,"<b>What it is: </b>A deeply nourishing, protein-free hair mask with vitamins, minerals, and phytonutrients clinically shown to boost moisture for more hydrated hair.<br><br><b>Hair Type:</b> Fine, Medium, and Thick<br><br><b>Hair Texture:</b> Straight, Wavy, Curly, and Coily<br><br><b>Hair Concerns: <br></b>- Curl Enhancing<br>- Dryness<br>- Frizz<br><br><b>Key Benefits: <br></b>- Deeply hydrates dry hair<br>- Enhances Softness and smoothness<br>- Enriched with vitamins and minerals<br>- Clean and naturally derived, formulated 6-Free™<br><br><b>Formulation:</b> Mask<br><br><b>Highlighted Ingredients:<br></b>- Avocado: Contains a robust fatty-acid composition that nourishes and conditions hair.<br>- Kiwi: Extracted from nutrient-dense pulp that is known for its high vitamin C content, which provides antioxidant protection.<br>- Spinach: A dark leafy green that is rich in flavonoids and antioxidants crucial for overall hair health. <br><br><b>Ingredient Callouts:</b> This product is vegan, cruelty-free, and gluten-free.<br><br><b>What Else You Need to Know:</b> This protein-free mask is fortified with green smoothie-inspired phytonutrients like spinach, chia seeds, and cocoa seed butter to help restore, maintain, and lock in moisture. It is perfect for all hair types, especially those with dry, curly, or coily hair. This mask is formulated with 97 percent naturally derived ingredients.<br><br><br><p><strong>Clean & Planet Aware</strong><br>Our ambitious curation of beauty made without controversial ingredients from brands dedicated to making meaningful environmental commitments, including sustainable ingredients and sourcing, packaging, corporate commitments, and consumer transparency.</p>",Briogeo Superfoods™ Avocado + Kiwi Mega Moisture Hair Mask in 8.0 oz/ 240 mL Image 2
K18 Biomimetic Hairscience,,"<p><strong>What it is: </strong>Get the ultimate damage repair with this bestselling duo. This set includes a full-size leave-in mask that reverses hair damage in just 4 minutes plus a free mini detox shampoo which removes buildup.</p><p><br></p><p><strong>Hair Texture:</strong> Straight, Wavy, Curly, and Coily</p><p><br></p><p><strong>Hair Type:</strong> Fine, Medium, and Thick</p><p><br></p><p><strong>Hair Concerns:<br></strong>- Color Safe</p><p>- Damage, Split Ends, and Breakage</p><p>- Scalp Build Up</p><p><br></p><p><strong>Key Benefits: <br></strong>- Cares for hair damage from bleach, color, chemical services, and heat in as few as four minutes</p><p>- Color-safe detox shampoo removes buildup from product, sebum, and copper</p><p>- Restores strength, softness, smoothness, shine, and bounce</p><p><br></p><p><strong>Highlighted Ingredients:<br></strong>- K18PEPTIDE: Targets damage from bleach, color, chemical services, and heat.</p><p>- Activated Charcoal: Absorbs toxins, excess oils, and dirt in the hair and scalp.</p><p>- Salicylic Acid: Visibly clears sebum buildup without stripping essential moisture and lipids.</p><p><br></p><p><strong>What Else You Need to Know:</strong> This two-step routine is designed for optimal reparative results. The mini color-safe detox shampoo creates a clean canvas on the hair by effectively removing product buildup, excess oil, and metals common in tap and hard water with a pH-optimized formula that won't leave hair over-stripped or easily tangled. The bestselling leave-in molecular repair hair mask—which repairs hair damage from bleach, color, chemical services, and heat in as little as four minutes—restoring strength, softness, smoothness, and bounce.</p><p><br></p><p><strong>Fragrance Description: </strong>These products have a fresh-floral scent with notes of jasmine and peony.<strong><br></strong></p><p><strong>Clinical Results:</strong> In a clinical study, after 1 application of the PEPTIDE PREP Detox Shampoo:</p><p>- 99% of product buildup was removed</p><p>- 95% of sebum was removed</p><p>- 76% of copper was removed</p><p><br></p><p>In a clinical study, 1 4-minute application of the Leave-In Molecular Repair Hair Mask showed improved strength and elasticity in hair damaged by bleach, color, chemical services, and heat.</p><p><br></p><p><strong>This Set Contains:<br></strong>- 1.8 oz/ 53 mL PEPTIDE PREP™ Detox Shampoo</p><p>- 1.7 oz/ 50 mL Leave-In Molecular Repair Hair Mask</p><p><br></p><p><strong>Clean at Sephora</strong></p>",K18 Biomimetic Hairscience Ultimate Reset + Repair Hair Mask and Shampoo Value Set Image 2
Briogeo,Hair Masks,"<p><strong>What it is: </strong>A lightweight, Superfood-infused mask with a water-cream texture to deeply hydrate fine strands without sacrificing volume or weighing hair down, infused with a juicy, tropical, passionfruit-inspired scent.</p><p><br></p><p><strong>Hair Texture:</strong> Straight, Wavy, and Curly</p><p><br></p><p><strong>Hair Type:</strong> Fine and Medium</p><p><br></p><p><strong>Hair Concerns:<br></strong>- Dryness</p><p>- Frizz</p><p>- Shine</p><p><br></p><p><strong>Key Benefits: <br></strong>- Quenches dry, delicate strands with healthy hydration</p><p>- Visibly improves softness and shine for healthier-looking hair</p><p>- Contains a concentrated blend of phytonutrients that nourishes hair without sacrificing volume</p><p><br></p><p><strong>Highlighted Ingredients:<br></strong></p><p >-Acai Extract : Protects strands from environmental aggressors.</p><p>-Passionfruit Oil: Boosts moisture and adds shine.</p><p>-Hydration Complex: Deeply hydrates parched hair.</p><p><br></p><p><strong>Ingredient Callouts:</strong> This product is vegan, gluten-free, and cruelty-free.</p><p><br></p><p><strong>What Else You Need to Know:</strong> Infused with antioxidant-rich ingredients like açaí extract and passionfruit oil, this protein-free hair mask locks in hydration to quench thirsty strands without weighing them down. The light-as-air water-cream texture nourishes fine-to-medium hair types for softer, smoother, more manageable results.</p><p><br></p><p><strong>Fragrance Description:</strong> Sweet, slightly tart berries meet fresh, crisp greens layered with a juicy, tropical finish.</p><p><strong><br>Clinical Results:</strong> A controlled study showed:</p><p>- Softer, smoother, more manageable hair in 5 minutes</p><p><strong><br>Clean + Planet Aware<br></strong>Our ambitious curation of beauty made without controversial ingredients from brands dedicated to making meaningful environmental commitments, including sustainable ingredients and sourcing, packaging, corporate commitments, and consumer transparency.<strong><br></strong></p>","Briogeo Mini Superfoods™ Acai + Passionfruit Lightweight, Hydrating Hair Mask for Fine Hair in 2 oz/59 ml Image 2"
Kérastase,Hair Masks,"<b>What it is: </b>A hydrating hair mask that nourishes, easily detangles, and strengthens very dry, fine to medium dry hair.<br><br><b>Hair Texture:</b> Straight, Wavy, Curly, and Coily<br><br><b>Hair Type:</b> Fine and Medium<br><br><b>Hair Concerns:<br></b>- Dryness<br>- Shine<br>- Straightening and Smoothing<br><br><b>Key Benefits: <br></b>- Replenishes moisture with intense hydration<br>- Smooths and easily detangles hair<br>- Leaves hair noticeably softer with enhanced shine<br><br><b>Highlighted Ingredients:<br></b>- Plant-Based Proteins: Nourishes hair with essential nutriments and helps retain moisture.<br>- Niacinamide: Locks in hydration for long-lasting hair strength.<br><br><b>What Else You Need to Know:</b> This intensely hydrating treatment mask nourishes, hydrates, and adds deep nutrition in fine to medium dry hair without weighing the hair down. It is formulated with plant-based proteins and niacinamide which helps to condition the hair, making it easier to comb and detangle. This treatment mask leaves hair also strengthens and adds more shine for healthy-looking hair. It is recommended by pro stylists for maximum weekly hydration and is the perfect addition to any haircare routine for enhanced shine and softer hair with a radiant finish.<br><br><b>Fragrance Description: </b>This mask smell like a fresh and floral composition, with top notes of bergamot, geranium, and bigaradier leaves for a clean scent, middle notes of peony, ylang, jasmine, and orris to capture the floral aroma, and bottom notes of tonka, amber, cedarwood, amyris, and musk.<b><br></b><br><b>Clinical Results:</b> In a controlled study using Nutritive Ultra-Hydrating Mask for Dry Hair, results showed:  <br>- Hair was 116% shinier vs. unwashed hair     <br>- Hair was 89% conditioned and added 98% more strength to hair and vs non-conditioning shampoo",Kérastase Nutritive Ultra-Hydrating Mask for Dry Hair in 6.8 oz / 200 ml Image 2
Oribe,Hair Masks,"<b>What it is: </b>An intensive, nutrient-rich mask that restores softness, shine, and body to dry, overworked hair with every application. <br><br><b>Hair Type:</b> Fine, Medium, and Thick<br><br><b>Hair Texture:</b> Coily, Curly, Straight, and Wavy <br><br><b>Hair Concerns:<br></b>- Dryness <br>- Shine <br>- Damage, Split Ends, and Breakage<br><br><b>Key Benefits: <br></b>- Provides intense moisture and nourishment<br>- Rebuilds and fortifies hair fibers<br>- Improves hair elasticity<br><br><b>Highlighted Ingredients:<br></b>- Bio-Restorative Complex (Biotin, Plant Collagen, Caffeine, and Niacinamide): Penetrates the hair cuticle to fortify, nourish, and strengthen.<br>- Baobab Tree Oil: Delivers vitamins A, D, E, and F along with antioxidant protection from damaging and drying free radicals.<br>- Oribe Signature Complex: Defends hair from environmental elements, oxidative stress, photoaging, and the deterioration of natural keratin.<br><br><b>Ingredient Callouts:</b> Free of parabens, formaldehydes, formaldehyde-releasing agents, mineral oil, retinyl palmitate, oxybenzone, coal tar, hydroquinone, sulfates SLS & SLES, triclocarban, and triclosan. It is also vegan, gluten-free, and cruelty-free.<br><br><b>What Else You Need to Know:</b> This restorative mask is like a fountain of youth for your hair.  Fortified with baobab and jasmine extracts, it intensely moisturizes and rebuilds damaged hair fibers. Its biotin-, antioxidant-, and protein-rich formula penetrates and strengthens each strand, restoring softness, body, and brilliance with each use.<br><br>All Oribe products are dermatologist tested and formulated with safe, high-quality, innovative ingredients. They are also PETA approved, UV protective, and color- and keratin-treatment safe.<br><br><b>Fragrance Description: </b>Created in collaboration with one of the oldest French Fragrance houses, Oribe’s signature scent, Côte d’Azur, features sun-drenched notes of Calabrian bergamot, white butterfly jasmine, and sandalwood—embodying the glamour and heat of the legendary destination.<br><br><b>Research Results:</b> Based on a 7-day consumer panel survey of 100 women:<br>- 94% said hair feels softer and smoother<br>- 91% said hair feels more hydrated and nourished<br>- 86% said the appearance of damaged hair was reversed",Oribe Mini Gold Lust Transformative mask in 1.7 oz / 50 mL Image 2
JVN,Hair Masks,"<p><strong>What it is: </strong>A richly moisturizing hair mask infused with JVN’s unique triple hydration system for up to 72 hours of instant hydration after a single use.</p><p><br></p><p><strong>Hair Type:</strong> Straight, Wavy, Curly, and Coily</p><p><br></p><p><strong>Hair Texture:</strong> Fine, Medium, and Thick</p><p><br></p><p><strong>Hair Concerns:</strong></p><p>- Dryness</p><p>- Frizz</p><p>- Damage, Split Ends, and Breakage</p><p><br></p><p><strong>Key Benefits: </strong></p><p>- 72 hours of instant hydration</p><p>- Leaves hair 15x easier to comb</p><p>- Smooths frizz and split ends</p><p><br></p><p><strong>Highlighted Ingredients:</strong></p><p>- Keratris: A vegan keratin alternative that provides hydration and frizz control.</p><p>- Hemisqualane: A silicone alternative that improves hair health and strength.</p><p>- Amino Acids: Smooth hair cuticle for a silkier feel and reduce the look of split ends.</p><p><br></p><p><strong>Ingredient Callouts:</strong> This product is vegan, gluten-free, cruelty-free, and comes in recyclable packaging.</p><p><br></p><p><strong>What Else You Need to Know:</strong> Deeply infuse moisture to transform dry hair and nourish split ends for your softest strands, thanks to a first-of-its-kind triple hydration system powered by hemisqualane, amino acids, and groundbreaking keratris—JVN’s high-performance, vegan keratin alternative, sourced from upcycled orange.</p><p><br></p><p><strong>Fragrance Description: </strong>An accord of amber woods and musk brings luminous warmth to a blend of balmy summer flowers, rounded by touches of crisp apple and violet leaf.</p><p><br></p><p><strong>Clinical Results:</strong> Based on a 21-day consumer study of 35 subjects used once per week: </p><p>- 100% said hair felt more nourished and hydrated</p><p>- 97% saw less breakage and a reduction in the appearance of split ends</p><p>Instantly hydrates & retains moisture for upto 72 hours after one use*</p><p><strong>Clean & Planet Aware</strong><br>Our ambitious curation of beauty made without controversial ingredients from brands dedicated to making meaningful environmental commitments, including sustainable ingredients and sourcing, packaging, corporate commitments, and consumer transparency.</p>",JVN Nurture Intense Hydration Hair Mask in 8 oz / 236 mL Image 2
Moroccanoil,Hair Masks,"<b>What it is: </b>An in-shower intense conditioning and shine formula inspired by professional gloss services.<br><br><b>Hair Texture:</b> Straight, Wavy, Curly, and Coily<br><br><b>Hair Type:</b> Fine, Medium, and Thick<br><br><b>Hair Concerns:<br></b>- Color-Fading<br>- Dryness<br>- Shine<br><br><b>Key Benefits: <br></b>- Provides glass-like, radiant shine<br>- Enhances color vibrancy and retention<br>- Quickly increases softness<br><br><b>Highlighted Ingredients:<br></b>- ArganID™: Infuses argan oil into hair’s cortex, helping to seal and repair the hair.<br>- Crambe Abyssinica Seed Oil: Imparts a highly reflective veil that conditions and helps enhance vibrancy.<br>- Amino Acid Blend: Offers color protection and repair benefits to help strengthen the hair.<br><br><b>Ingredient Callouts:</b> Free of parabens and sulfates SLS & SLES. It is also cruelty-free.<br><br><b>What Else You Need to Know:</b> This hair gloss mask leaves hair with a reflective, glass-like sheen, quickly boosting shine while also helping to protect and revitalize hair color between appointments. Formulated with ArganID™ technology, this mask helps repair and seal the cuticle for hair that’s soft, nourished, and healthy-looking.<br><br><b>Fragrance Description: </b>Fragrance Originale, the signature Moroccanoil scent, combines notes of spicy amber and sweet florals.<b><br></b><br><b>Clinical Results:</b> In an independent lab study, results show:<br>- High Shine Gloss protects against color fading  <br><br>In an independent consumer study of women ages 18 to 65, after 1 use:<br>- 95% agreed hair has a gloss-like finish<br>- 96% said hair looks and feels healthy and richly conditioned<br>- 86% agreed shine was instantly boosted",Moroccanoil Mini High Shine Gloss Mask in 2.5 oz/75 ml Image 2
Moroccanoil,Hair Masks,"<b>Which hair texture is it good for?</b><br>✔ Straight<br>✔ Wavy<br>✔ Curly<br><br><b>Hair Type: </b>Fine and Medium<br><br><b>Hair Concerns:</b><br>- Dryness<br>- Shine<br><br><b>What it is:</b><br>A high-performance, argan oil-infused mask formulated for fine, dry hair that richly hydrates to improve texture and manageability.<br><br><b>Key benefits:</b><br>- Hydrates and conditions<br>- Improves elasticity and shine<br>- Revives dry hair<br><br><b>If you want to know more…</b><br> Moroccanoil® Weightless Hydrating Mask is formulated for those with finer or lighter-colored hair. The rich and creamy mask hydrates and conditions hair while supporting its texture and manageability. The formula won’t weigh your hair down, and works in as little as five to seven minutes.<br><br><b>What it is formulated WITHOUT:</b><br>- Parabens<br>- Phthalates",Moroccanoil Weightless Hydrating Mask in 8.5 oz/ 250 mL Image 2
PATTERN by Tracee Ellis Ross,Hair Masks,"<b>What it is: </b>A softening and strengthening treatment mask that delivers slip, curl elongation, and definition to coils, leaving hair fortified and hydrated.<br><br><b>Hair Texture:</b> Wavy, Curly, and Coily<br><br><b>Hair Type:</b> Fine, Medium, and Thick<br><br><b>Hair Concerns:<br></b>- Curl-Enhancing<br>- Damage, Split Ends, and Breakage<br>- Dryness<br><br><b>Key Benefits: <br></b>- Delivers slip, curl elongation, and definition to coils without weighing down curls<br>- Strengthens, fortifies, and decreases breakage<br>- Hair will be left hydrated, silky, and pampered<br><br><b>Highlighted Ingredients:<br></b>- Rice Water Ferment and Moringa Seed Extract: Softening and strengthening.<br><br><b>Ingredient Callouts:</b> Free of parabens, formaldehydes, formaldehyde-releasing agents, phthalates, mineral oil, retinyl palmitate, oxybenzone, coal tar, hydroquinone, sulfates SLS & SLES, triclocarban, triclosan, and contains less than one percent synthetic fragrance. It is also vegan and cruelty-free.<br><br><b>What Else You Need to Know:</b> The rice water-infused Treatment Mask has softening and strengthening ingredients such as rice water ferment and moringa seed extract to deliver slip, curl elongation, and definition. The protein-infused Treatment Mask leaves curly hair hydrated, silky, and pampered.<br>",PATTERN by Tracee Ellis Ross Treatment Hair Mask with Rice Water Protein in 15 oz/ 443.6 mL Image 2
Kérastase,Hair Masks,"<b>What it is: </b>An extra-rich, nourishing hair mask for all curly and coily hair types that intensely moisturizes to protect against breakage and reconstruct damaged curls, leaving hair soft and bouncy.<br><br><b>Hair Type:</b> Fine, Medium, and Thick<br><br><b>Hair Texture:</b> Wavy, Curly, and Coily<br><br><b>Hair Concerns:<br></b>- Curl Enhancing<br>- Dryness<br>- Damage/Split Ends/Breakage<br><br><b>Key Benefits: <br></b>- Deeply Moisturizes and Conditions Dry, Damaged Curls<br>- Protects Hair Against Future Breakage<br>- Promotes Elasticity and Leaves Hair Softer With Enhanced Shine<br><br><b>Highlighted Ingredients:<br></b>- Manuka Honey: A rare and powerful honey rich in minerals and nutrients to intensely hydrate for smooth, manageable curls.<br>- Ceramides: Seal moisture to restore natural body and protect against breakage.<br><br><b>Ingredient Callouts:</b> Free of mineral oil and sulfates SLS & SLES.<br><br><b>What Else You Need to Know:</b> Restore your curls and coils with this ultra-rich, hydrating hair mask blended with manuka honey and ceramides to intensely moisturize and protect against breakage. Stylists and curl specialists worldwide recommend its buttery-cream formula as the perfect sulfate-free remedy to replenish dry, damaged curls. Use as a conditioner or as a weekly, intense treatment for soft, bouncy curls with enhanced shine.<br><br><b>Fragrance Description:</b> Experience a warm and elegant composition born from the petals of glowing tuberoses. This fragrance features top notes of frangipani flower and jasmine petal, middle notes of tuberose petal fir absolu, freesia, and tiare, and base notes of white musk bouquet, honey milk, and nougat.",Kérastase Curl Manifesto Nourishing Mask for Curly Hair in 6.8 oz/ 200 mL Image 2
Kérastase,Hair Masks,"<b>What it is: </b>A deeply conditioning hair mask infused with hyaluronic acid to strengthen and soften blonde hair damaged from lightening treatments.<br><br><b>Hair Type:</b> Fine, Medium, and Thick<br><br><b>Hair Texture:</b> Straight, Wavy, and Curly<br><br><b>Hair Concerns:<br></b>- Color Safe<br>- Dryness<br>- Damage/Split Ends/Breakage<br><br><b>Key Benefits: <br></b>- Strengthens and deeply moisturizes damaged blonde hair<br>- Adds hydration, softness, and shine<br>- Nourishes damaged and weakened split ends<br><br><b>Highlighted Ingredients:<br></b>- Hyaluronic Acid: Ultra concentrated acid to strengthen damaged hair, prevent future breakage, and seal cuticles.<br>- Edelweiss Flower: Rich in antioxidants to protect against daily damage and soften sensitized hair.<br><br><b>What Else You Need to Know:</b> The perfect professional color care for bleached, dark roots, and textured blonde hair, this hair mask deeply moisturizes and nourishes to leave hair soft and shiny. It’s formulated with hyaluronic acid and edelweiss flower. Lightened or highlighted hair is strengthened to reduce breakage and improve hair health.<br><br><b>Fragrance Description: </b>An aromatic scent of blooming flowers and dazzling citrus. Top notes of orange blossom, bergamot, and mandarin, heart notes of peony, fig, and laurel, and base notes of cedar wood, musk, and cardamom.<b><br></b>",Kérastase Blond Absolu Strengthening Hair Mask for Very Damaged Blonde Hair in 6.8 oz/ 200 mL Image 2
